%#################################################################
Title:        Basenet Report
Design:       top
Date:         Nov 7 11:09:59 2018
%#################################################################


%
Base nets and synonyms for muctpi_lib.TOP(@muctpi_lib.top(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         
RUN                 	ENA_3V3 - @muctpi_lib.POWER                                 	 99B8<                        
                    	RUN - @muctpi_lib.DCDC_26A_3V3                              	 103C7<                       
SCL                 	PMB_SCL - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SCL - @muctpi_lib.DCDC_26A_3V3                              	 103D7<                       
SDA                 	PMB_SDA - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SDA - @muctpi_lib.DCDC_26A_3V3                              	 103D7<>                      
SGND                	SGND - @muctpi_lib.DCDC_26A_3V3                             	 103B5                        
SHARE_CLK           	SHARE_CLK - @muctpi_lib.POWER                               	 99A5<>                       
                    	SHARE_CLK - @muctpi_lib.DCDC_26A_3V3                        	 103C7<>                      
SYNC                	SYNC_3V3 - @muctpi_lib.POWER                                	 99A8<>                       
                    	SYNC - @muctpi_lib.DCDC_26A_3V3                             	 103C7<>                      
VIN                 	VIN - @muctpi_lib.DCDC_26A_3V3                              	 103E7<                       
VOSNS_N             	VOSNS_N - @muctpi_lib.DCDC_26A_3V3                          	 103C4                        
VOSNS_P             	VOSNS_P - @muctpi_lib.DCDC_26A_3V3                          	 103D4                        
VOUT                	VOUT - @muctpi_lib.DCDC_26A_3V3                             	 103D1>                       
VOUTCFG             	VOUTCFG - @muctpi_lib.DCDC_26A_3V3                          	 103C5                        
VTRIMCFG            	VTRIMCFG - @muctpi_lib.DCDC_26A_3V3                         	 103C5                        

%
Base nets and synonyms for muctpi_lib.DCDC_26A_2V5(@muctpi_lib.top(sch_1):page4_i7@muctpi_lib.power(sch_1):page1_i65@muctpi_lib.dcdc_26a_2v5(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

ALERT*              	PMB_ALERT* - @muctpi_lib.POWER                              	 99B5> 99D1 99D2              
                    	ALERT* - @muctpi_lib.DCDC_26A_2V5                           	 102C7>                       
ASEL                	ASEL - @muctpi_lib.DCDC_26A_2V5                             	 102C5                        
COMPA               	COMPA - @muctpi_lib.DCDC_26A_2V5                            	 102C5                        
COMPB0              	COMPB0 - @muctpi_lib.DCDC_26A_2V5                           	 102C5                        
COMPB1              	COMPB1 - @muctpi_lib.DCDC_26A_2V5                           	 102C5                        
FAULT*              	PG_2V5 - @muctpi_lib.POWER                                  	 99C5>                        
                    	FAULT* - @muctpi_lib.DCDC_26A_2V5                           	 102C7>                       
FSWPHCFG            	FSWPHCFG - @muctpi_lib.DCDC_26A_2V5                         	 102C5                        
RUN                 	ENA_2V5 - @muctpi_lib.POWER                                 	 99C8<                        
                    	RUN - @muctpi_lib.DCDC_26A_2V5                              	 102C7<                       
SCL                 	PMB_SCL - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SCL - @muctpi_lib.DCDC_26A_2V5                              	 102D7<                       
SDA                 	PMB_SDA - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SDA - @muctpi_lib.DCDC_26A_2V5                              	 102D7<>                      
SGND                	SGND - @muctpi_lib.DCDC_26A_2V5                             	 102B5                        
SHARE_CLK           	SHARE_CLK - @muctpi_lib.POWER                               	 99A5<>                       
                    	SHARE_CLK - @muctpi_lib.DCDC_26A_2V5                        	 102C7<>                      
SYNC                	SYNC_2V5 - @muctpi_lib.POWER                                	 99B8<>                       
                    	SYNC - @muctpi_lib.DCDC_26A_2V5                             	 102C7<>                      
VIN                 	VIN - @muctpi_lib.DCDC_26A_2V5                              	 102E7<                       
VOSNS_N             	VOSNS_N - @muctpi_lib.DCDC_26A_2V5                          	 102C4                        
VOSNS_P             	VOSNS_P - @muctpi_lib.DCDC_26A_2V5                          	 102D4                        
VOUT                	VOUT - @muctpi_lib.DCDC_26A_2V5                             	 102D1>                       
VOUTCFG             	VOUTCFG - @muctpi_lib.DCDC_26A_2V5                          	 102C5                        
VTRIMCFG            	VTRIMCFG - @muctpi_lib.DCDC_26A_2V5                         	 102C5                        

%
Base nets and synonyms for muctpi_lib.DCDC_26A_1V8(@muctpi_lib.top(sch_1):page4_i7@muctpi_lib.power(sch_1):page1_i61@muctpi_lib.dcdc_26a_1v8(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

ALERT*              	PMB_ALERT* - @muctpi_lib.POWER                              	 99B5> 99D1 99D2              
                    	ALERT* - @muctpi_lib.DCDC_26A_1V8                           	 101C7>                       
ASEL                	ASEL - @muctpi_lib.DCDC_26A_1V8                             	 101C5                        
COMPA               	COMPA - @muctpi_lib.DCDC_26A_1V8                            	 101C5                        
COMPB0              	COMPB0 - @muctpi_lib.DCDC_26A_1V8                           	 101C5                        
COMPB1              	COMPB1 - @muctpi_lib.DCDC_26A_1V8                           	 101C5                        
FAULT*              	PG_1V8 - @muctpi_lib.POWER                                  	 99C5>                        
                    	FAULT* - @muctpi_lib.DCDC_26A_1V8                           	 101C7>                       
FSWPHCFG            	FSWPHCFG - @muctpi_lib.DCDC_26A_1V8                         	 101C5                        
RUN                 	ENA_1V8 - @muctpi_lib.POWER                                 	 99C8<                        
                    	RUN - @muctpi_lib.DCDC_26A_1V8                              	 101C7<                       
SCL                 	PMB_SCL - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SCL - @muctpi_lib.DCDC_26A_1V8                              	 101D7<                       
SDA                 	PMB_SDA - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SDA - @muctpi_lib.DCDC_26A_1V8                              	 101D7<>                      
SGND                	SGND - @muctpi_lib.DCDC_26A_1V8                             	 101B5                        
SHARE_CLK           	SHARE_CLK - @muctpi_lib.POWER                               	 99A5<>                       
                    	SHARE_CLK - @muctpi_lib.DCDC_26A_1V8                        	 101C7<>                      
SYNC                	SYNC_1V8 - @muctpi_lib.POWER                                	 99C8<>                       
                    	SYNC - @muctpi_lib.DCDC_26A_1V8                             	 101C7<>                      
VIN                 	VIN - @muctpi_lib.DCDC_26A_1V8                              	 101E7<                       
VOSNS_N             	VOSNS_N - @muctpi_lib.DCDC_26A_1V8                          	 101C4                        
VOSNS_P             	VOSNS_P - @muctpi_lib.DCDC_26A_1V8                          	 101D4                        
VOUT                	VOUT - @muctpi_lib.DCDC_26A_1V8                             	 101D1>                       
VOUTCFG             	VOUTCFG - @muctpi_lib.DCDC_26A_1V8                          	 101C5                        
VTRIMCFG            	VTRIMCFG - @muctpi_lib.DCDC_26A_1V8                         	 101C5                        

%
Base nets and synonyms for muctpi_lib.DCDC_2X13A_1V0_1V35(@muctpi_lib.top(sch_1):page4_i7@muctpi_lib.power(sch_1):page1_i6@muctpi_lib.dcdc_2x13a_1v0_1v35(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

ALERT*              	PMB_ALERT* - @muctpi_lib.POWER                              	 99B5> 99D1 99D2              
                    	ALERT* - @muctpi_lib.DCDC_2X13A_1V0_1V35                    	 104C7>                       
ASEL                	ASEL - @muctpi_lib.DCDC_2X13A_1V0_1V35                      	 104C5                        
COMP0A              	COMP0A - @muctpi_lib.DCDC_2X13A_1V0_1V35                    	 104C5                        
COMP0B              	COMP0B - @muctpi_lib.DCDC_2X13A_1V0_1V35                    	 104C5                        
COMP1A              	COMP1A - @muctpi_lib.DCDC_2X13A_1V0_1V35                    	 104C5                        
COMP1B              	COMP1B - @muctpi_lib.DCDC_2X13A_1V0_1V35                    	 104C5                        
FAULT_0V85*         	PG_0V85 - @muctpi_lib.POWER                                 	 99D5>                        
                    	FAULT_0V85* - @muctpi_lib.DCDC_2X13A_1V0_1V35               	 104C7>                       
FAULT_1V2*          	PG_1V2 - @muctpi_lib.POWER                                  	 99D5>                        
                    	FAULT_1V2* - @muctpi_lib.DCDC_2X13A_1V0_1V35                	 104C7>                       
FSWPHCFG            	FSWPHCFG - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104C5                        
P0V85_OUT           	P0V85_OUT - @muctpi_lib.DCDC_2X13A_1V0_1V35                 	 104C1>                       
P1V2_OUT            	P1V2_OUT - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104D1>                       
RUN_0V85            	ENA_0V85 - @muctpi_lib.POWER                                	 99D8<                        
                    	RUN_0V85 - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104C7<                       
RUN_1V2             	ENA_1V2 - @muctpi_lib.POWER                                 	 99D8<                        
                    	RUN_1V2 - @muctpi_lib.DCDC_2X13A_1V0_1V35                   	 104C7<                       
SCL                 	PMB_SCL - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SCL - @muctpi_lib.DCDC_2X13A_1V0_1V35                       	 104D7<                       
SDA                 	PMB_SDA - @muctpi_lib.POWER                                 	 99D8<> 99D1 99D2             
                    	SDA - @muctpi_lib.DCDC_2X13A_1V0_1V35                       	 104D7<>                      
SGND                	SGND - @muctpi_lib.DCDC_2X13A_1V0_1V35                      	 104B5                        
SHARE_CLK           	SHARE_CLK - @muctpi_lib.POWER                               	 99A5<>                       
                    	SHARE_CLK - @muctpi_lib.DCDC_2X13A_1V0_1V35                 	 104C7<>                      
SYNC                	SYNC_0V85_1V2 - @muctpi_lib.POWER                           	 99D8<>                       
                    	SYNC - @muctpi_lib.DCDC_2X13A_1V0_1V35                      	 104C7<>                      
VIN                 	VIN - @muctpi_lib.DCDC_2X13A_1V0_1V35                       	 104E8<                       
VOSNS0_N            	VOSNS0_N - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104C4                        
VOSNS0_P            	VOSNS0_P - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104D4                        
VOSNS1_P            	VOSNS1_P - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104C4                        
VOUT0CFG            	VOUT0CFG - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104C5                        
VOUT1CFG            	VOUT1CFG - @muctpi_lib.DCDC_2X13A_1V0_1V35                  	 104C5                        
VTRIM0CFG           	VTRIM0CFG - @muctpi_lib.DCDC_2X13A_1V0_1V35                 	 104C5                        
VTRIM1CFG           	VTRIM1CFG - @muctpi_lib.DCDC_2X13A_1V0_1V35                 	 104B5                        

%
Base nets and synonyms for muctpi_lib.ATCA(@muctpi_lib.top(sch_1):page4_i6@muctpi_lib.atca(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

DCDC_ALERT*         	DCDC_ALERT* - @muctpi_lib.TOP                               	 3A7                          
                    	DCDC_ALERT* - @muctpi_lib.ATCA                              	 98B4>                        
DCDC_ON_OFF         	DCDC_ON_OFF - @muctpi_lib.ATCA                              	 98B3                         
ENA_12V             	ENA_12V - @muctpi_lib.TOP                                   	 3A8 3E1                      
                    	ENA_12V - @muctpi_lib.ATCA                                  	 98B5<                        
ENA_A               	ENA_A - @muctpi_lib.ATCA                                    	 98D5 98E4                    
ENA_B               	ENA_B - @muctpi_lib.ATCA                                    	 98D5 98E4                    
ESD_SEG_1           	ESD_SEG_1 - @muctpi_lib.ATCA                                	 98A8                         
ESD_SEG_2           	ESD_SEG_2 - @muctpi_lib.ATCA                                	 98A8                         
HA<7..0>            	ATCA_HA<7..0> - @muctpi_lib.TOP                             	 3B7                          
                    	HA<7..0> - @muctpi_lib.ATCA                                 	 98D6> 98C6                   
I2C_ADDR            	I2C_ADDR - @muctpi_lib.ATCA                                 	 98D4                         
I2C_SCL             	IPMC_MGT_SCL - @muctpi_lib.TOP                              	 3A8 3B5                      
                    	I2C_SCL - @muctpi_lib.ATCA                                  	 98B4< 98D4<                  
I2C_SDA             	IPMC_MGT_SDA - @muctpi_lib.TOP                              	 3A8 3B5                      
                    	I2C_SDA - @muctpi_lib.ATCA                                  	 98B4<> 98D4<>                
IPMB_SCL_A          	IPMB_SCL_A - @muctpi_lib.TOP                                	 3B7                          
                    	IPMB_SCL_A - @muctpi_lib.ATCA                               	 98D6<>                       
IPMB_SCL_B          	IPMB_SCL_B - @muctpi_lib.TOP                                	 3A7                          
                    	IPMB_SCL_B - @muctpi_lib.ATCA                               	 98D6<>                       
IPMB_SDA_A          	IPMB_SDA_A - @muctpi_lib.TOP                                	 3B7                          
                    	IPMB_SDA_A - @muctpi_lib.ATCA                               	 98D6<>                       
IPMB_SDA_B          	IPMB_SDA_B - @muctpi_lib.TOP                                	 3A7                          
                    	IPMB_SDA_B - @muctpi_lib.ATCA                               	 98C6<>                       
M48V_A              	M48V_A - @muctpi_lib.ATCA                                   	 98D4 98E5                    
M48V_B              	M48V_B - @muctpi_lib.ATCA                                   	 98D4 98E5                    
M48V_OUT            	M48V_OUT - @muctpi_lib.ATCA                                 	 98A4 98E1                    
M48V_RTN            	M48V_RTN - @muctpi_lib.ATCA                                 	 98B4 98E1                    
PG_12V              	PG_P12V - @muctpi_lib.TOP                                   	 3A7 3D4                      
                    	PG_12V - @muctpi_lib.ATCA                                   	 98A1>                        
PIM_ALARM           	PIM_ALARM - @muctpi_lib.TOP                                 	 3A7                          
                    	PIM_ALARM - @muctpi_lib.ATCA                                	 98D2>                        
VRTN_A              	VRTN_A - @muctpi_lib.ATCA                                   	 98E4 98E5                    
VRTN_B              	VRTN_B - @muctpi_lib.ATCA                                   	 98E4 98E5                    
V_HLDP              	V_HLDP - @muctpi_lib.ATCA                                   	 98E2                         

%
Base nets and synonyms for muctpi_lib.IPMC(@muctpi_lib.top(sch_1):page4_i5@muctpi_lib.ipmc(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

ATCA_BLUE_LED       	ATCA_BLUE_LED - @muctpi_lib.IPMC                            	 96B3 96D8                    
ATCA_LED1           	ATCA_LED1 - @muctpi_lib.IPMC                                	 96B3 96D8                    
ATCA_LED2           	ATCA_LED2 - @muctpi_lib.IPMC                                	 96A3 96D8                    
ATCA_LED3           	ATCA_LED3 - @muctpi_lib.IPMC                                	 96A3 96D8                    
CPLD_IO<0>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<0> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<1>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<1> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<2>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<2> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<3>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<3> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<4>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<4> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<5>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<5> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<6>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<6> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<7>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<7> - @muctpi_lib.IPMC                               	 96A8<>                       
CPLD_IO<8>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<8> - @muctpi_lib.IPMC                               	 96A5<>                       
CPLD_IO<9>          	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<9> - @muctpi_lib.IPMC                               	 96A5<>                       
CPLD_IO<10>         	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<10> - @muctpi_lib.IPMC                              	 96A5<>                       
CPLD_IO<11>         	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<11> - @muctpi_lib.IPMC                              	 96A5<>                       
CPLD_IO<12>         	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<12> - @muctpi_lib.IPMC                              	 96A5<>                       
CPLD_IO<13>         	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<13> - @muctpi_lib.IPMC                              	 96A5<>                       
CPLD_IO<14>         	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<14> - @muctpi_lib.IPMC                              	 96A5<>                       
CPLD_IO<15>         	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
                    	CPLD_IO<15> - @muctpi_lib.IPMC                              	 96A5<>                       
DCDC_ALERT*         	DCDC_ALERT* - @muctpi_lib.TOP                               	 3A7                          
                    	DCDC_ALERT* - @muctpi_lib.IPMC                              	 96B8<                        
ENA_12V             	IPM_DCDC_ENA - @muctpi_lib.TOP                              	 3A5 3C4                      
                    	ENA_12V - @muctpi_lib.IPMC                                  	 96C4>                        
ETH_LED0            	ETH_LED0 - @muctpi_lib.IPMC                                 	 96A7 96D5                    
ETH_LED1            	ETH_LED1 - @muctpi_lib.IPMC                                 	 96A7 96C5                    
ETH_RXN             	ETH_RXN - @muctpi_lib.IPMC                                  	 96D6                         
ETH_RXP             	ETH_RXP - @muctpi_lib.IPMC                                  	 96D6                         
ETH_TXN             	ETH_TXN - @muctpi_lib.IPMC                                  	 96D6                         
ETH_TXP             	ETH_TXP - @muctpi_lib.IPMC                                  	 96D6                         
HA<7..0>            	ATCA_HA<7..0> - @muctpi_lib.TOP                             	 3B7                          
                    	HA<7..0> - @muctpi_lib.IPMC                                 	 96E8<                        
HANDLE_SWITCH       	HANDLE_SWITCH - @muctpi_lib.IPMC                            	 96B3 96D8                    
IPMB_SCL_A          	IPMB_SCL_A - @muctpi_lib.TOP                                	 3B7                          
                    	IPMB_SCL_A - @muctpi_lib.IPMC                               	 96E5<>                       
IPMB_SCL_B          	IPMB_SCL_B - @muctpi_lib.TOP                                	 3A7                          
                    	IPMB_SCL_B - @muctpi_lib.IPMC                               	 96E5<>                       
IPMB_SDA_A          	IPMB_SDA_A - @muctpi_lib.TOP                                	 3B7                          
                    	IPMB_SDA_A - @muctpi_lib.IPMC                               	 96E5<>                       
IPMB_SDA_B          	IPMB_SDA_B - @muctpi_lib.TOP                                	 3A7                          
                    	IPMB_SDA_B - @muctpi_lib.IPMC                               	 96E5<>                       
IPMC_RST_O*         	IPM_RST* - @muctpi_lib.TOP                                  	 3A5 3C4                      
                    	IPMC_RST_O* - @muctpi_lib.IPMC                              	 96D8>                        
IPMC_TCK            	IPMC_TCK - @muctpi_lib.IPMC                                 	 96E4 96E6                    
IPMC_TDI            	IPMC_TDI - @muctpi_lib.IPMC                                 	 96E4 96E6                    
IPMC_TDO            	IPMC_TDO - @muctpi_lib.IPMC                                 	 96E4 96E6                    
IPMC_TMS            	IPMC_TMS - @muctpi_lib.IPMC                                 	 96E4 96E6                    
IPMC_UART_RX        	IPM_UART_RXD - @muctpi_lib.TOP                              	 3A7 3B1                      
                    	IPMC_UART_RX - @muctpi_lib.IPMC                             	 96C8<                        
IPMC_UART_TX        	IPM_UART_TXD - @muctpi_lib.TOP                              	 3A5 3B4                      
                    	IPMC_UART_TX - @muctpi_lib.IPMC                             	 96C8>                        
MASTER_TCK          	IPM_MTCK - @muctpi_lib.TOP                                  	 3A5 3D4                      
                    	MASTER_TCK - @muctpi_lib.IPMC                               	 96C8>                        
MASTER_TDI          	IPM_MTDO - @muctpi_lib.TOP                                  	 3A7 3D4                      
                    	MASTER_TDI - @muctpi_lib.IPMC                               	 96C8<                        
MASTER_TDO          	IPM_MTDI - @muctpi_lib.TOP                                  	 3A5 3D4                      
                    	MASTER_TDO - @muctpi_lib.IPMC                               	 96C8>                        
MASTER_TMS          	IPM_MTMS - @muctpi_lib.TOP                                  	 3A5 3D4                      
                    	MASTER_TMS - @muctpi_lib.IPMC                               	 96C8>                        
MGTRAVCC            	MGTRAVCC - @muctpi_lib.IPMC                                 	 97C2                         
MGTRAVTT            	MGTRAVTT - @muctpi_lib.IPMC                                 	 97C2                         
MGT_SCL             	IPMC_MGT_SCL - @muctpi_lib.TOP                              	 3A8 3B5                      
                    	MGT_SCL - @muctpi_lib.IPMC                                  	 96C5<> 96B5 97B2             
MGT_SDA             	IPMC_MGT_SDA - @muctpi_lib.TOP                              	 3A8 3B5                      
                    	MGT_SDA - @muctpi_lib.IPMC                                  	 96C5<> 96C4 97B2             
MUX_INT*<0>         	IPMC_INT*<0> - @muctpi_lib.TOP                              	 1D6                          
                    	MUX_INT*<0> - @muctpi_lib.IPMC                              	 97D4<                        
MUX_INT*<1>         	IPMC_INT*<1> - @muctpi_lib.TOP                              	 1D2                          
                    	MUX_INT*<1> - @muctpi_lib.IPMC                              	 97D4<                        
MUX_INT*<2>         	IPMC_INT*<2> - @muctpi_lib.TOP                              	 2D5                          
                    	MUX_INT*<2> - @muctpi_lib.IPMC                              	 97D4<                        
MUX_INT3*           	MUX_INT3* - @muctpi_lib.IPMC                                	 97A5 97D5                    
MUX_RST*            	MUX_RST* - @muctpi_lib.IPMC                                 	 96B6 97D8                    
MUX_SCL3            	MUX_SCL3 - @muctpi_lib.IPMC                                 	 97A7 97C3 97C7 97D5          
MUX_SCL<0>          	IPMC_SCL<0> - @muctpi_lib.TOP                               	 1D8                          
                    	MUX_SCL<0> - @muctpi_lib.IPMC                               	 97E4>                        
MUX_SCL<1>          	IPMC_SCL<1> - @muctpi_lib.TOP                               	 1D4                          
                    	MUX_SCL<1> - @muctpi_lib.IPMC                               	 97D4>                        
MUX_SCL<2>          	IPMC_SCL<2> - @muctpi_lib.TOP                               	 2D8                          
                    	MUX_SCL<2> - @muctpi_lib.IPMC                               	 97D4>                        
MUX_SDA3            	MUX_SDA3 - @muctpi_lib.IPMC                                 	 97A7 97C3 97C7 97D5          
MUX_SDA<0>          	IPMC_SDA<0> - @muctpi_lib.TOP                               	 1D8                          
                    	MUX_SDA<0> - @muctpi_lib.IPMC                               	 97E4<>                       
MUX_SDA<1>          	IPMC_SDA<1> - @muctpi_lib.TOP                               	 1D4                          
                    	MUX_SDA<1> - @muctpi_lib.IPMC                               	 97D4<>                       
MUX_SDA<2>          	IPMC_SDA<2> - @muctpi_lib.TOP                               	 2D8                          
                    	MUX_SDA<2> - @muctpi_lib.IPMC                               	 97D4<>                       
PG_12V              	PG_P12V - @muctpi_lib.TOP                                   	 3A7 3D4                      
                    	PG_12V - @muctpi_lib.IPMC                                   	 96B8<                        
PIM_ALARM           	PIM_ALARM - @muctpi_lib.TOP                                 	 3A7                          
                    	PIM_ALARM - @muctpi_lib.IPMC                                	 96C5<                        
PMB_ALERT*          	PMB_ALERT* - @muctpi_lib.TOP                                	 1A2 1A6 2B5 3A2 3A7 3C4      
                    	PMB_ALERT* - @muctpi_lib.IPMC                               	 96B8<                        
PMB_ENA             	IPM_PMB_ENA - @muctpi_lib.TOP                               	 3A7 3D1                      
                    	PMB_ENA - @muctpi_lib.IPMC                                  	 97B4<                        
PMB_SCL             	PMB_SCL - @muctpi_lib.TOP                                   	 1A4 1A8 2B8 2C4 3A3 3A5      
                    	PMB_SCL - @muctpi_lib.IPMC                                  	 97B1<>                       
PMB_SDA             	PMB_SDA - @muctpi_lib.TOP                                   	 1A4 1A8 2B8 2C4 3A3 3A5      
                    	PMB_SDA - @muctpi_lib.IPMC                                  	 97B1<>                       
POR_3V3MP*          	POR_3V3MP* - @muctpi_lib.TOP                                	 3A5 3C4                      
                    	POR_3V3MP* - @muctpi_lib.IPMC                               	 96A3>                        
SNS_INT*            	SNS_INT* - @muctpi_lib.IPMC                                 	 96B6 97D8                    
SNS_SCL             	ZYQ_SLV_I2C_SCL - @muctpi_lib.TOP                           	 2C4 3B5                      
                    	SNS_SCL - @muctpi_lib.IPMC                                  	 96C5<> 97E8                  
SNS_SDA             	ZYQ_SLV_I2C_SDA - @muctpi_lib.TOP                           	 2C4 3B5                      
                    	SNS_SDA - @muctpi_lib.IPMC                                  	 96C5<> 97E8                  
TCKR                	TCKR - @muctpi_lib.IPMC                                     	 96C7                         
TDOR                	TDOR - @muctpi_lib.IPMC                                     	 96C7                         
TMSR                	TMSR - @muctpi_lib.IPMC                                     	 96C7                         
ZYNQ_DXN            	ZYQ_DXN - @muctpi_lib.TOP                                   	 2B2 3A7                      
                    	ZYNQ_DXN - @muctpi_lib.IPMC                                 	 97A7<                        
ZYNQ_DXP            	ZYQ_DXP - @muctpi_lib.TOP                                   	 2B2 3A7                      
                    	ZYNQ_DXP - @muctpi_lib.IPMC                                 	 97A7<                        
ZYNQ_THERM*         	ZYQ_THERM* - @muctpi_lib.TOP                                	 3A5 3C4                      
                    	ZYNQ_THERM* - @muctpi_lib.IPMC                              	 97A5>                        

%
Base nets and synonyms for muctpi_lib.CLOCKS(@muctpi_lib.top(sch_1):page4_i4@muctpi_lib.clocks(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

CS*<0>              	SI_CS*<1..0> - @muctpi_lib.TOP                              	 2D4 3E8                      
                    	CS*<0> - @muctpi_lib.CLOCKS                                 	 83E8<                        
                    	CS* - @muctpi_lib.JITTER_CLEANER(i48_page1)                 	 87C5<                        
CS*<1>              	SI_CS*<1..0> - @muctpi_lib.TOP                              	 2D4 3E8                      
                    	CS*<1> - @muctpi_lib.CLOCKS                                 	 84D7<                        
                    	CS* - @muctpi_lib.CLKGEN_SI5345(i5_page2)                   	 92C5<                        
CTP_MGTCLK_N        	CTP_MGTCLK_N - @muctpi_lib.TOP                              	 2D8 3D6                      
                    	CTP_MGTCLK_N - @muctpi_lib.CLOCKS                           	 83A1>                        
CTP_MGTCLK_P        	CTP_MGTCLK_P - @muctpi_lib.TOP                              	 2D8 3D6                      
                    	CTP_MGTCLK_P - @muctpi_lib.CLOCKS                           	 83A1>                        
DDR3_CLK_N          	DDR3_CLK_N - @muctpi_lib.TOP                                	 2A8 3B6                      
                    	DDR3_CLK_N - @muctpi_lib.CLOCKS                             	 84D2>                        
                    	CLK_OUT_N<4> - @muctpi_lib.CLKGEN_SI5345(i5_page2)          	 92D2>                        
DDR3_CLK_P          	DDR3_CLK_P - @muctpi_lib.TOP                                	 2A8 3C6                      
                    	DDR3_CLK_P - @muctpi_lib.CLOCKS                             	 84D2>                        
                    	CLK_OUT_P<4> - @muctpi_lib.CLKGEN_SI5345(i5_page2)          	 92D2>                        
GBE_MGTCLK_N<3..0>  	GBE_MGTCLK_N<3> - @muctpi_lib.TOP                           	 3B7                          
                    	GBE_MGTCLK_N<3..0> - @muctpi_lib.CLOCKS                     	 84B2>                        
                    	CLK_OUT_N<3> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
GBE_MGTCLK_P<3..0>  	GBE_MGTCLK_P<3> - @muctpi_lib.TOP                           	 3B7                          
                    	GBE_MGTCLK_P<3..0> - @muctpi_lib.CLOCKS                     	 84C2>                        
                    	CLK_OUT_P<3> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
INT*<0>             	SI_INT*<1..0> - @muctpi_lib.TOP                             	 2D4 3E6                      
                    	INT*<0> - @muctpi_lib.CLOCKS                                	 83E5>                        
                    	INTR* - @muctpi_lib.JITTER_CLEANER(i48_page1)               	 87B2>                        
INT*<1>             	SI_INT*<1..0> - @muctpi_lib.TOP                             	 2D4 3E6                      
                    	INT*<1> - @muctpi_lib.CLOCKS                                	 84D5>                        
